Audio_UMAP_X,Audio_UMAP_Y,Audio_UMAP_Z,Volume,Pitch
1.189169025421142578e+01,1.061580467224121094e+01,2.819957733154296875e+00,3.566260915249586105e-03,1.102758224418185904e+02
1.181264019012451172e+01,1.030363178253173828e+01,2.837467432022094727e+00,3.596346126869320869e-03,2.301572107270029051e+02
9.358598709106445312e+00,1.104020214080810547e+01,5.030148506164550781e+00,3.641968360170722008e-03,2.451267997773203433e+02
9.276812553405761719e+00,1.105601501464843750e+01,5.120595455169677734e+00,3.645203076303005219e-03,1.163615252446247297e+02
9.266333580017089844e+00,1.105137443542480469e+01,5.120008468627929688e+00,4.968430381268262863e-03,2.552536165466458442e+02
9.232937812805175781e+00,1.104470252990722656e+01,5.145401000976562500e+00,5.038115661591291428e-03,2.586500883680776610e+02
9.207264900207519531e+00,1.101919555664062500e+01,5.205565452575683594e+00,7.032974623143672943e-03,2.617503445747183264e+02
9.217503547668457031e+00,1.104048728942871094e+01,5.203827381134033203e+00,7.586819119751453400e-03,2.563807279851100702e+02
9.229493141174316406e+00,1.106612968444824219e+01,5.251298427581787109e+00,6.930501665920019150e-03,2.441081498264724701e+02
9.225722312927246094e+00,1.103562736511230469e+01,5.190698146820068359e+00,7.077688816934823990e-03,2.444342532727860657e+02
9.234510421752929688e+00,1.104021072387695312e+01,5.180202960968017578e+00,5.375463049858808517e-03,2.488766176071555378e+02
9.217423439025878906e+00,1.102033138275146484e+01,5.305065155029296875e+00,4.802068695425987244e-03,2.758155911851686710e+02
9.233533859252929688e+00,1.102009391784667969e+01,5.281651496887207031e+00,6.381836719810962677e-03,2.750974003277229940e+02
9.242963790893554688e+00,1.098003101348876953e+01,5.398092269897460938e+00,6.909387186169624329e-03,3.047602322824802172e+02
9.235570907592773438e+00,1.098365783691406250e+01,5.433645248413085938e+00,7.375986780971288681e-03,3.155154020971297086e+02
9.233570098876953125e+00,1.098205471038818359e+01,5.435935497283935547e+00,8.035946637392044067e-03,2.393496725586545608e+02
9.233195304870605469e+00,1.096116924285888672e+01,5.463980674743652344e+00,7.822551764547824860e-03,2.309235079019637737e+02
9.283796310424804688e+00,1.091727638244628906e+01,5.616291046142578125e+00,7.697279099375009537e-03,2.126729780258888240e+02
9.338992118835449219e+00,1.083779144287109375e+01,5.948446750640869141e+00,8.162123151123523712e-03,2.140689668735318207e+02
9.353470802307128906e+00,1.081799316406250000e+01,5.988604545593261719e+00,9.640723466873168945e-03,2.169668284989157314e+02
9.353327751159667969e+00,1.081626510620117188e+01,6.004803180694580078e+00,1.009060442447662354e-02,2.200412497446210978e+02
9.338269233703613281e+00,1.083593750000000000e+01,5.969570159912109375e+00,1.032164413481950760e-02,2.280364577945251199e+02
9.333414077758789062e+00,1.083587455749511719e+01,5.949148654937744141e+00,1.071771048009395599e-02,2.251789139498988845e+02
9.384966850280761719e+00,1.077540493011474609e+01,5.994286060333251953e+00,9.575457312166690826e-03,2.269477592536667601e+02
9.457977294921875000e+00,1.068427467346191406e+01,6.074961185455322266e+00,9.665042161941528320e-03,1.140859668741108379e+02
9.393638610839843750e+00,1.076238346099853516e+01,6.038861751556396484e+00,9.850077331066131592e-03,1.144500050115209291e+02
9.354748725891113281e+00,1.081763362884521484e+01,5.995250225067138672e+00,9.348550811409950256e-03,2.336240074518799759e+02
9.340922355651855469e+00,1.080274295806884766e+01,5.959239959716796875e+00,9.250408038496971130e-03,1.128717694456993428e+02
9.358801841735839844e+00,1.081394481658935547e+01,5.987879276275634766e+00,8.650966919958591461e-03,1.116183263580703056e+02
9.355321884155273438e+00,1.084713935852050781e+01,5.972623825073242188e+00,1.048020925372838974e-02,3.837888918268143925e+02
9.366473197937011719e+00,1.081128597259521484e+01,6.018542289733886719e+00,1.238443329930305481e-02,3.583293457716655439e+02
9.435128211975097656e+00,1.070236587524414062e+01,6.085525512695312500e+00,1.412888709455728531e-02,3.583409191350297647e+02
9.581464767456054688e+00,1.048652553558349609e+01,6.168510913848876953e+00,1.430957671254873276e-02,3.168128237818270350e+02
